,name,condition,bean1GridX,bean1GridY,bean2GridX,bean2GridY,playerGridX,playerGridY,beanEaten,firstResponseTime,trialTime
0,Modeltest,None,9,13,7,1,11,3,2,95,566
1,Modeltest,3,9,13,1,12,7,1,1,95,1318
2,Modeltest,-5,1,12,13,13,9,13,2,92,378
3,Modeltest,-3,1,12,13,1,13,13,2,93,1138
4,Modeltest,0,1,12,2,13,13,1,2,104,2182
5,Modeltest,5,1,12,10,13,2,13,1,91,188
6,Modeltest,-1,10,13,1,3,1,12,2,91,846
7,Modeltest,1,10,13,13,11,1,3,1,93,1811
8,Modeltest,3,13,11,2,13,10,13,1,97,488
9,Modeltest,3,2,13,7,1,13,11,1,90,1255
10,Modeltest,0,7,1,13,7,2,13,2,91,1604
11,Modeltest,-5,7,1,12,13,13,7,2,91,655
12,Modeltest,-3,7,1,1,10,12,13,2,91,1317
13,Modeltest,3,7,1,13,4,1,10,1,94,1428
14,Modeltest,0,13,4,1,4,7,1,2,92,843
15,Modeltest,1,13,4,5,13,1,4,1,90,1136
16,Modeltest,-3,5,13,2,1,13,4,2,93,1310
17,Modeltest,1,5,13,13,6,2,1,1,95,1433
18,Modeltest,5,13,6,13,1,5,13,1,92,1505
19,Modeltest,0,13,1,13,13,13,6,1,104,505
20,Modeltest,1,13,13,1,2,13,1,1,96,1105
21,Modeltest,-3,1,2,5,1,13,13,2,89,1831
22,Modeltest,3,1,2,13,1,5,1,1,89,458
23,Modeltest,-3,13,1,1,13,1,2,2,94,1012
24,Modeltest,-1,13,1,12,1,1,13,2,91,2112
25,Modeltest,0,13,1,10,1,12,1,1,88,275
26,Modeltest,5,10,1,13,11,13,1,1,87,272
27,Modeltest,-3,13,11,1,2,10,1,2,88,911
28,Modeltest,-1,13,11,10,13,1,2,2,87,1827
29,Modeltest,-1,13,11,5,13,10,13,2,91,464
30,Modeltest,0,13,11,1,7,5,13,1,90,1000
31,Modeltest,-5,1,7,12,1,13,11,2,96,1039
32,Modeltest,-5,1,7,13,12,12,1,2,101,1147
33,Modeltest,1,1,7,6,1,13,12,1,89,1609
34,Modeltest,-1,6,1,5,13,1,7,2,98,938
35,Modeltest,-1,6,1,13,9,5,13,2,91,1157
36,Modeltest,1,6,1,1,13,13,9,1,102,1474
37,Modeltest,1,1,13,13,12,6,1,1,99,1685
38,Modeltest,3,13,12,5,1,1,13,1,102,1278
39,Modeltest,-1,5,1,1,6,13,12,2,94,1724
40,Modeltest,-3,5,1,1,12,1,6,2,91,557
41,Modeltest,1,5,1,13,8,1,12,1,95,1454
42,Modeltest,-1,13,8,1,11,5,1,2,92,1364
43,Modeltest,1,13,8,7,1,1,11,1,94,1422
44,Modeltest,3,7,1,2,13,13,8,1,89,1212
45,Modeltest,-5,2,13,13,7,7,1,2,93,1110
46,Modeltest,0,2,13,2,1,13,7,1,92,1638
47,Modeltest,-1,2,1,13,13,2,13,2,99,1081
48,Modeltest,-5,2,1,1,7,13,13,2,94,1756
49,Modeltest,5,2,1,7,13,1,7,1,101,704
50,Modeltest,3,7,13,13,10,2,1,1,92,1675
51,Modeltest,3,13,10,1,7,7,13,1,107,864
52,Modeltest,0,1,7,7,1,13,10,2,91,1433
53,Modeltest,-5,1,7,13,2,7,1,2,90,664
54,Modeltest,5,1,7,2,13,13,2,1,92,1615
55,Modeltest,1,2,13,3,1,1,7,1,92,666
56,Modeltest,-1,3,1,13,12,2,13,2,97,1149
57,Modeltest,-1,3,1,1,4,13,12,2,93,1884
58,Modeltest,0,3,1,1,11,1,4,1,98,492
59,Modeltest,1,1,11,13,4,3,1,1,96,1219
60,Modeltest,-3,13,4,7,1,1,11,2,109,1657
61,Modeltest,-3,13,4,1,1,7,1,2,91,564
62,Modeltest,-3,13,4,1,13,1,1,2,92,1115
63,Modeltest,3,13,4,13,1,1,13,1,96,1957
64,Modeltest,0,13,1,13,12,13,4,1,91,282
65,Modeltest,-5,13,12,2,1,13,1,2,89,1020
66,Modeltest,-3,13,12,9,13,2,1,2,96,1779
67,Modeltest,3,13,12,1,13,9,13,1,93,470
68,Modeltest,1,1,13,10,1,13,12,1,91,1218
69,Modeltest,-5,10,1,13,9,1,13,2,94,1487
70,Modeltest,3,10,1,3,13,13,9,1,90,1023
71,Modeltest,-3,3,13,1,8,10,1,2,91,1491
72,Modeltest,-3,3,13,1,2,1,8,2,91,548
73,Modeltest,5,3,13,13,8,1,2,1,89,1200
74,Modeltest,5,13,8,11,1,3,13,1,93,1415
75,Modeltest,0,11,1,9,13,13,8,1,92,839
76,Modeltest,5,9,13,1,10,11,1,1,90,1309
77,Modeltest,5,1,10,13,1,9,13,1,90,1023
78,Modeltest,-5,13,1,13,6,1,10,2,96,1493
79,Modeltest,1,13,1,13,13,13,6,1,89,465
80,Modeltest,5,13,13,1,6,13,1,1,91,1122
81,Modeltest,1,1,6,5,1,13,13,1,94,1758
82,Modeltest,-3,5,1,1,13,1,6,2,89,647
83,Modeltest,3,5,1,13,6,1,13,1,89,1492
84,Modeltest,-1,13,6,1,9,5,1,2,89,1103
85,Modeltest,5,13,6,13,1,1,9,0,91,374
0,Modeltest,5,7,13,5,10,4,6,2,101,475
1,Modeltest,5,7,13,1,3,5,10,1,93,461
2,Modeltest,1,1,3,13,2,7,13,1,89,1459
3,Modeltest,5,13,2,9,13,1,3,1,88,1184
4,Modeltest,-5,9,13,4,1,13,2,2,95,916
5,Modeltest,3,9,13,13,12,4,1,1,88,1559
6,Modeltest,0,13,12,3,13,9,13,1,88,470
7,Modeltest,-1,3,13,13,2,13,12,2,89,942
8,Modeltest,-5,3,13,1,6,13,2,2,88,1484
9,Modeltest,-3,3,13,2,1,1,6,2,88,563
10,Modeltest,-5,3,13,10,1,2,1,2,88,735
11,Modeltest,-1,3,13,1,10,10,1,2,89,1643
12,Modeltest,-1,3,13,1,3,1,10,1,89,458
13,Modeltest,-3,1,3,12,13,3,13,2,88,821
14,Modeltest,-1,1,3,4,1,12,13,2,88,1824
15,Modeltest,0,1,3,10,1,4,1,1,89,455
16,Modeltest,0,10,1,2,13,1,3,2,88,1061
17,Modeltest,1,10,1,13,3,2,13,1,89,1857
18,Modeltest,3,13,3,2,1,10,1,1,91,464
