,name,condition,bean1GridX,bean1GridY,bean2GridX,bean2GridY,playerGridX,playerGridY,beanEaten,firstResponseTime,trialTime
0,Heling,None,9,13,1,3,6,3,1,82,3307
1,Heling,0,1,3,3,1,9,13,1,110,3117
2,Heling,-1,3,1,1,13,1,3,1,63,820
3,Heling,5,1,13,13,10,3,1,1,96,2338
4,Heling,1,13,10,5,1,1,13,1,94,2976
5,Heling,-5,5,1,4,13,13,10,1,111,2672
6,Heling,-3,4,13,13,3,5,1,1,103,2271
7,Heling,1,13,3,12,1,4,13,1,81,3354
8,Heling,3,12,1,13,11,13,3,1,112,744
9,Heling,-1,13,11,1,1,12,1,1,91,2043
10,Heling,-1,1,1,1,2,13,11,2,124,3706
11,Heling,3,1,1,1,12,1,2,1,110,110
12,Heling,-5,1,12,8,1,1,1,2,110,1626
13,Heling,-3,1,12,13,11,8,1,2,235,2479
14,Heling,0,1,12,10,1,13,11,1,142,2302
15,Heling,3,10,1,13,1,1,12,1,154,2833
16,Heling,5,13,1,2,1,10,1,1,111,353
17,Heling,3,2,1,11,13,13,1,2,9,2083
18,Heling,0,2,1,1,2,11,13,2,114,3348
19,Heling,3,2,1,1,10,1,2,1,143,783
20,Heling,5,1,10,13,5,2,1,1,113,1903
21,Heling,3,13,5,12,1,1,10,1,108,2445
22,Heling,-3,12,1,13,11,13,5,1,245,2563
23,Heling,-1,13,11,1,1,12,1,1,118,1729
24,Heling,-3,1,1,1,4,13,11,2,101,3197
25,Heling,5,1,1,1,13,1,4,1,7,1051
26,Heling,-5,1,13,12,1,1,1,1,98,1705
27,Heling,-3,12,1,13,5,1,13,1,60,3210
28,Heling,1,13,5,2,1,12,1,1,108,725
29,Heling,-1,2,1,7,13,13,5,1,110,3389
30,Heling,-5,7,13,13,2,2,1,2,114,2204
31,Heling,1,7,13,1,8,13,2,1,232,2974
32,Heling,5,1,8,13,3,7,13,1,239,1810
33,Heling,-3,13,3,10,13,1,8,2,174,2612
34,Heling,0,13,3,1,9,10,13,1,135,1993
35,Heling,1,1,9,4,13,13,3,2,115,2845
36,Heling,3,1,9,13,12,4,13,1,111,2413
37,Heling,3,13,12,11,1,1,9,1,233,2584
38,Heling,-1,11,1,2,13,13,12,1,102,2174
39,Heling,1,2,13,1,13,11,1,1,132,3427
40,Heling,5,1,13,12,13,2,13,1,111,112
41,Heling,-3,12,13,1,2,1,13,2,112,1710
42,Heling,-1,12,13,13,11,1,2,2,233,3247
43,Heling,3,12,13,13,2,13,11,1,113,448
44,Heling,1,13,2,1,11,12,13,1,123,1851
45,Heling,0,1,11,3,13,13,2,2,153,3322
46,Heling,1,1,11,11,13,3,13,1,109,1541
47,Heling,1,11,13,4,1,1,11,1,110,2642
48,Heling,-5,4,1,13,1,11,13,2,125,3988
49,Heling,-5,4,1,13,8,13,1,1,127,1339
50,Heling,3,13,8,11,13,4,1,1,85,2829
51,Heling,5,11,13,8,1,13,8,1,109,1555
52,Heling,-3,8,1,1,11,11,13,1,113,1894
53,Heling,-1,1,11,13,12,8,1,1,113,2774
54,Heling,0,13,12,4,1,1,11,0,99,911
0,Heling,0,2,2,5,12,7,7,2,1073,2099
1,Heling,5,2,2,13,2,5,12,1,111,2032
2,Heling,5,13,2,7,13,2,2,1,234,1454
3,Heling,3,7,13,1,10,13,2,1,73,2546
4,Heling,1,1,10,13,9,7,13,1,113,1509
5,Heling,-1,13,9,4,1,1,10,1,234,2038
6,Heling,1,4,1,1,3,13,9,2,113,4335
7,Heling,-1,4,1,1,11,1,3,1,108,1384
8,Heling,-3,1,11,13,2,4,1,1,234,2379
9,Heling,-5,13,2,7,1,1,11,2,110,3158
10,Heling,-3,13,2,2,1,7,1,1,233,1233
11,Heling,1,2,1,11,13,13,2,1,146,1791
12,Heling,1,11,13,13,12,2,1,1,146,3031
13,Heling,-1,13,12,1,13,11,13,1,111,582
14,Heling,0,1,13,11,1,13,12,1,6,2017
15,Heling,-3,11,1,13,6,1,13,2,108,3367
16,Heling,-5,11,1,13,12,13,6,1,122,1322
17,Heling,5,13,12,1,9,11,1,1,112,2214
18,Heling,-1,1,9,10,1,13,12,1,123,2299
19,Heling,-5,10,1,9,13,1,9,1,33,3159
20,Heling,-3,9,13,1,2,10,1,1,91,2025
21,Heling,-5,1,2,13,3,9,13,1,234,2630
22,Heling,-1,13,3,2,13,1,2,1,108,2157
23,Heling,0,2,13,1,12,13,3,1,115,2735
24,Heling,5,1,12,9,13,2,13,1,109,1150
25,Heling,-5,9,13,1,7,1,12,1,230,1281
26,Heling,-1,1,7,13,4,9,13,1,110,4343
27,Heling,1,13,4,11,13,1,7,1,112,2858
28,Heling,1,11,13,4,1,13,4,1,145,1732
29,Heling,0,4,1,1,4,11,13,2,113,2669
30,Heling,-1,4,1,1,11,1,4,1,111,2692
31,Heling,0,1,11,13,5,4,1,1,231,1937
32,Heling,-5,13,5,4,1,1,11,2,112,2206
33,Heling,-5,13,5,1,6,4,1,1,110,2126
34,Heling,3,1,6,5,13,13,5,1,110,1717
35,Heling,3,5,13,10,1,1,6,1,50,1792
36,Heling,-3,10,1,1,3,5,13,1,115,3583
37,Heling,0,1,3,13,9,10,1,1,234,1678
38,Heling,3,13,9,12,13,1,3,1,112,2874
39,Heling,5,12,13,11,1,13,9,1,110,687
40,Heling,0,11,1,1,11,12,13,1,235,2922
41,Heling,-5,1,11,8,13,11,1,2,84,2678
42,Heling,-1,1,11,13,10,8,13,1,103,1439
43,Heling,-3,13,10,1,1,1,11,1,136,1840
44,Heling,-3,1,1,1,4,13,10,2,113,3981
45,Heling,5,1,1,1,12,1,4,1,111,357
46,Heling,-1,1,12,11,1,1,1,1,110,1706
47,Heling,0,11,1,13,3,1,12,2,97,3381
48,Heling,5,11,1,13,13,13,3,1,119,1271
49,Heling,5,13,13,1,10,11,1,1,233,2860
50,Heling,5,1,10,5,1,13,13,1,234,3151
51,Heling,-3,5,1,8,13,1,10,1,111,1711
52,Heling,0,8,13,13,8,5,1,1,111,2588
53,Heling,0,13,8,1,10,8,13,0,135,1437
0,Heling,0,13,4,4,7,1,2,2,2127,4388
1,Heling,-3,13,4,1,13,4,7,1,102,2295
2,Heling,-3,1,13,1,10,13,4,1,232,3552
3,Heling,3,1,10,12,13,1,13,1,227,471
4,Heling,1,12,13,7,1,1,10,1,113,2410
5,Heling,0,7,1,1,7,12,13,2,77,3268
6,Heling,-1,7,1,6,13,1,7,1,112,1675
7,Heling,1,6,13,13,9,7,1,1,82,1981
8,Heling,3,13,9,1,4,6,13,1,123,2547
9,Heling,3,1,4,1,1,13,9,1,104,3532
10,Heling,-1,1,1,1,11,1,4,1,108,354
11,Heling,-3,1,11,12,1,1,1,1,108,1638
12,Heling,-5,12,1,13,7,1,11,2,114,2503
13,Heling,1,12,1,11,13,13,7,1,109,979
14,Heling,3,11,13,1,6,12,1,1,234,1912
15,Heling,3,1,6,3,1,11,13,1,111,2610
16,Heling,-5,3,1,1,10,1,6,1,107,979
17,Heling,3,1,10,13,5,3,1,1,38,1814
18,Heling,0,13,5,9,1,1,10,1,113,2640
19,Heling,-3,9,1,13,11,13,5,2,112,1361
20,Heling,0,9,1,1,13,13,11,1,236,2244
21,Heling,-1,1,13,2,13,9,1,1,111,2533
22,Heling,-3,2,13,1,10,1,13,1,56,120
23,Heling,-3,1,10,6,13,2,13,2,229,1234
