,name,condition,bean1GridX,bean1GridY,bean2GridX,bean2GridY,playerGridX,playerGridY,beanEaten,firstResponseTime,trialTime
0,Zhuanqi,None,3,12,11,3,1,3,2,69,3134
1,Zhuanqi,-1,3,12,1,9,11,3,2,112,2630
2,Zhuanqi,-3,3,12,1,7,1,9,1,29,1150
3,Zhuanqi,-5,1,7,4,13,3,12,2,45,1228
4,Zhuanqi,5,1,7,13,8,4,13,2,143,2555
5,Zhuanqi,1,1,7,6,1,13,8,1,494,2143
6,Zhuanqi,0,6,1,6,13,1,7,1,131,1735
7,Zhuanqi,3,6,13,13,9,6,1,1,70,1809
8,Zhuanqi,-3,13,9,1,10,6,13,1,20,2071
9,Zhuanqi,-5,1,10,13,1,13,9,1,102,2057
10,Zhuanqi,-3,13,1,13,4,1,10,2,135,2892
11,Zhuanqi,1,13,1,13,8,13,4,1,108,752
12,Zhuanqi,5,13,8,1,1,13,1,1,55,1152
13,Zhuanqi,-3,1,1,2,13,13,8,2,49,2874
14,Zhuanqi,1,1,1,13,10,2,13,1,166,2278
15,Zhuanqi,-1,13,10,9,13,1,1,1,56,3453
16,Zhuanqi,-1,9,13,13,3,13,10,1,34,1989
17,Zhuanqi,-1,13,3,1,8,9,13,2,97,2382
18,Zhuanqi,0,13,3,13,13,1,8,2,67,2863
19,Zhuanqi,5,13,3,1,10,13,13,1,323,1549
20,Zhuanqi,-5,1,10,1,1,13,3,2,30,2667
21,Zhuanqi,5,1,10,13,3,1,1,1,77,1758
22,Zhuanqi,1,13,3,12,1,1,10,2,142,3993
23,Zhuanqi,-1,13,3,8,1,12,1,1,136,1694
24,Zhuanqi,3,8,1,13,13,13,3,1,233,1520
25,Zhuanqi,-5,13,13,1,6,8,1,2,159,2457
26,Zhuanqi,-3,13,13,12,1,1,6,2,107,2617
27,Zhuanqi,-3,13,13,1,1,12,1,1,394,2553
28,Zhuanqi,-5,1,1,6,1,13,13,2,61,3243
29,Zhuanqi,-1,1,1,11,1,6,1,1,117,932
30,Zhuanqi,3,11,1,2,13,1,1,1,213,1437
31,Zhuanqi,-3,2,13,1,9,11,1,2,109,2757
32,Zhuanqi,0,2,13,1,3,1,9,1,75,1408
33,Zhuanqi,-1,1,3,12,13,2,13,1,111,1963
34,Zhuanqi,0,12,13,13,12,1,3,2,167,3683
35,Zhuanqi,1,12,13,13,3,13,12,1,147,657
36,Zhuanqi,-3,13,3,2,13,12,13,1,191,2259
37,Zhuanqi,1,2,13,1,13,13,3,1,95,3801
38,Zhuanqi,5,1,13,13,13,2,13,1,87,275
39,Zhuanqi,0,13,13,1,1,1,13,1,114,1983
40,Zhuanqi,-1,1,1,2,1,13,13,1,111,3749
41,Zhuanqi,0,2,1,1,7,1,1,1,168,168
42,Zhuanqi,3,1,7,12,1,2,1,1,159,1466
43,Zhuanqi,-1,12,1,11,13,1,7,2,227,2594
44,Zhuanqi,3,12,1,1,7,11,13,1,19,2075
45,Zhuanqi,0,1,7,7,13,12,1,1,83,2624
46,Zhuanqi,3,7,13,10,1,1,7,1,113,1645
47,Zhuanqi,-1,10,1,1,5,7,13,1,112,2068
48,Zhuanqi,-5,1,5,13,6,10,1,1,235,1813
49,Zhuanqi,-5,13,6,1,13,1,5,1,110,2501
50,Zhuanqi,-5,1,13,4,1,13,6,2,213,2693
51,Zhuanqi,1,1,13,13,8,4,1,2,112,2630
52,Zhuanqi,1,1,13,2,1,13,8,1,110,2262
53,Zhuanqi,5,2,1,13,7,1,13,1,111,2732
54,Zhuanqi,-1,13,7,6,13,2,1,2,127,2504
55,Zhuanqi,3,13,7,1,2,6,13,0,112,602
0,Zhuanqi,3,13,7,8,10,3,7,2,1096,2391
1,Zhuanqi,-3,13,7,3,13,8,10,1,109,1146
2,Zhuanqi,0,3,13,3,1,13,7,2,100,3010
3,Zhuanqi,1,3,13,13,4,3,1,2,92,2679
4,Zhuanqi,-5,3,13,2,1,13,4,1,112,2796
5,Zhuanqi,-3,2,1,13,13,3,13,1,129,2790
6,Zhuanqi,-3,13,13,10,13,2,1,2,121,3709
7,Zhuanqi,3,13,13,2,13,10,13,1,107,350
8,Zhuanqi,5,2,13,9,1,13,13,1,59,1719
9,Zhuanqi,3,9,1,13,2,2,13,1,110,2967
10,Zhuanqi,5,13,2,1,3,9,1,1,87,1170
11,Zhuanqi,5,1,3,6,13,13,2,1,165,2189
12,Zhuanqi,-1,6,13,13,1,1,3,1,29,2275
13,Zhuanqi,-3,13,1,1,2,6,13,1,110,2719
14,Zhuanqi,5,1,2,7,13,13,1,1,114,2184
15,Zhuanqi,-1,7,13,13,6,1,2,2,106,2149
16,Zhuanqi,5,7,13,1,12,13,6,1,106,2379
17,Zhuanqi,-1,1,12,13,13,7,13,1,105,1294
18,Zhuanqi,3,13,13,6,1,1,12,1,69,2333
19,Zhuanqi,5,6,1,1,1,13,13,1,102,2819
20,Zhuanqi,-1,1,1,13,1,6,1,1,109,600
21,Zhuanqi,-5,13,1,1,10,1,1,1,92,1747
22,Zhuanqi,-3,1,10,7,13,13,1,1,36,2863
23,Zhuanqi,1,7,13,2,1,1,10,1,230,2403
24,Zhuanqi,0,2,1,13,2,7,13,1,123,2688
25,Zhuanqi,3,13,2,5,13,2,1,1,63,1505
26,Zhuanqi,-1,5,13,1,8,13,2,2,232,3683
27,Zhuanqi,-3,5,13,1,2,1,8,1,127,2069
28,Zhuanqi,-1,1,2,13,7,5,13,1,231,3155
29,Zhuanqi,3,13,7,10,13,1,2,1,139,2388
30,Zhuanqi,-3,10,13,13,1,13,7,1,107,1633
31,Zhuanqi,5,13,1,1,2,10,13,2,113,3173
32,Zhuanqi,5,13,1,8,13,1,2,1,93,2174
33,Zhuanqi,3,8,13,1,9,13,1,1,112,2577
34,Zhuanqi,1,1,9,13,6,8,13,1,108,1474
35,Zhuanqi,-3,13,6,5,1,1,9,1,107,2109
36,Zhuanqi,-5,5,1,12,13,13,6,1,109,1908
37,Zhuanqi,-1,12,13,13,11,5,1,2,54,2905
38,Zhuanqi,0,12,13,13,2,13,11,1,121,925
39,Zhuanqi,3,13,2,1,9,12,13,1,101,2097
40,Zhuanqi,-5,1,9,10,13,13,2,1,68,3186
41,Zhuanqi,5,10,13,11,1,1,9,1,232,2388
42,Zhuanqi,-3,11,1,1,12,10,13,1,109,2216
43,Zhuanqi,1,1,12,1,13,11,1,1,107,3048
44,Zhuanqi,0,1,13,1,5,1,12,1,106,106
45,Zhuanqi,-3,1,5,11,13,1,13,1,104,1526
46,Zhuanqi,-5,11,13,10,1,1,5,1,108,2576
47,Zhuanqi,0,10,1,1,10,11,13,2,106,2408
48,Zhuanqi,-3,10,1,13,13,1,10,1,72,2466
49,Zhuanqi,1,13,13,1,8,10,1,1,113,2012
50,Zhuanqi,-1,1,8,9,1,13,13,1,109,2535
51,Zhuanqi,-5,9,1,6,13,1,8,2,32,1709
52,Zhuanqi,-1,9,1,1,4,6,13,1,106,2614
53,Zhuanqi,3,1,4,13,11,9,1,1,112,1384
54,Zhuanqi,1,13,11,12,13,1,4,0,109,1003
0,Zhuanqi,1,9,4,3,7,4,12,2,768,1523
1,Zhuanqi,3,9,4,9,13,3,7,1,234,1808
2,Zhuanqi,0,9,13,3,1,9,4,1,17,1157
3,Zhuanqi,0,3,1,1,3,9,13,2,103,2375
4,Zhuanqi,3,3,1,1,10,1,3,1,111,539
5,Zhuanqi,3,1,10,13,5,3,1,1,109,4435
6,Zhuanqi,0,13,5,9,1,1,10,2,100,3129
7,Zhuanqi,5,13,5,1,6,9,1,1,111,1355
8,Zhuanqi,0,1,6,8,13,13,5,1,113,1991
9,Zhuanqi,1,8,13,11,1,1,6,1,34,2525
10,Zhuanqi,-1,11,1,1,6,8,13,2,105,2212
11,Zhuanqi,-5,11,1,4,13,1,6,2,90,2227
12,Zhuanqi,-5,11,1,1,2,4,13,2,436,2431
13,Zhuanqi,-1,11,1,1,13,1,2,2,112,2186
14,Zhuanqi,1,11,1,13,2,1,13,1,112,3494
15,Zhuanqi,-1,13,2,9,1,11,1,1,29,902
16,Zhuanqi,-3,9,1,13,13,13,2,1,110,1159
17,Zhuanqi,-5,13,13,1,4,9,1,2,169,2102
18,Zhuanqi,-5,13,13,13,8,1,4,2,108,2796
19,Zhuanqi,0,13,13,13,3,13,8,1,226,873
20,Zhuanqi,5,13,3,1,10,13,13,2,326,2978
21,Zhuanqi,1,13,3,12,1,1,10,1,107,3067
22,Zhuanqi,0,12,1,13,7,13,3,1,21,1515
23,Zhuanqi,-3,13,7,2,1,12,1,2,104,1670
24,Zhuanqi,-3,13,7,4,13,2,1,1,110,3048
25,Zhuanqi,0,4,13,4,1,13,7,1,111,3069
26,Zhuanqi,3,4,1,13,7,4,13,2,7,2402
27,Zhuanqi,-1,4,1,5,13,13,7,2,8,2858
28,Zhuanqi,3,4,1,13,5,5,13,2,110,2603
29,Zhuanqi,5,4,1,3,13,13,5,1,108,2304
30,Zhuanqi,3,3,13,13,8,4,1,2,32,2622
31,Zhuanqi,0,3,13,5,1,13,8,1,109,2531
32,Zhuanqi,-5,5,1,12,13,3,13,2,100,1404
33,Zhuanqi,-5,5,1,1,10,12,13,2,108,2538
34,Zhuanqi,5,5,1,13,4,1,10,2,112,2640
35,Zhuanqi,-1,5,1,12,13,13,4,1,111,1870
36,Zhuanqi,-5,12,13,1,11,5,1,2,60,2744
37,Zhuanqi,5,12,13,9,1,1,11,1,113,1894
38,Zhuanqi,1,9,1,1,8,12,13,2,139,2528
39,Zhuanqi,1,9,1,12,13,1,8,2,109,3109
